HOME_PURCHASE_STATUS,DEVICE_TYPE,USER_VISIT_TYPE,YEAR_BUILT,Q2B_DENSITY,RESIDENCE_TYPE,CONSTRUCTION_TYPE,REPLACEMENT_AMOUNT_NUMBER,SQUARE_FOOTAGE,Type,TOTAL_RPA,TOTAL_RPU,TOTAL_REVENUE,UNIQUE_PURCHASE_CLICKS,UNIQUE_BRIDGE_CLICKS,IS_SITE_APPLICANT,IS_SITE_CUSTOMER
Rent,Mobile,Returning,1969,0.32993356511988975,Apartment,Masonry,412416.89747021254,2698.7509671843036,link click,227.62647284834088,185.78772192409548,414.43404552409885,1,9,Yes,Yes
Rent,Mobile,New,1970,0.1252895042875528,Apartment,Masonry,319123.92501109093,2161.3008438015363,link click,205.86092218654082,265.546747815468,104.39464551206069,1,1,No,No
Own,Mobile,New,1948,0.7469012887444556,Single Family,Brick,312007.6081127641,1933.9324955491074,link click,64.92480429746306,303.4394776137503,430.2652279593146,0,1,Yes,No
Own,Mobile,New,1954,0.5109240851904112,Single Family,Mixed,263771.72967431485,1819.515784733345,link click,46.68233467437374,99.97112449019353,253.26163666465533,1,2,Yes,Yes
Rent,Mobile,New,1965,0.37515450927758465,Single Family,Masonry,313123.3991703691,1642.5100617298476,link click,94.20506666406197,33.611229836205005,375.96946717350914,1,2,Yes,Yes
Own,Mobile,New,1965,0.33998843778358817,Condo,Frame,503971.51723412145,3290.9225283496853,link click,249.52995395097798,150.4886971910451,236.64842044843715,3,2,Yes,Yes
Own,Mobile,Returning,1989,0.4565559542908365,Apartment,Brick,265370.8938102674,1672.3829315968392,link click,108.92123872780243,178.252676274201,183.64394894508482,0,2,No,Yes
Own,Desktop,Returning,1994,0.4128938024374853,Single Family,Frame,305845.25906361965,2540.192205559981,link click,217.58793823892435,158.89452593682117,415.8633612597054,0,6,Yes,No
Rent,Mobile,Returning,2021,0.720628598228993,Single Family,Brick,326989.3595252942,3225.546268526223,link click,38.60156370341731,139.76643989723337,137.07461344624605,3,5,Yes,Yes
Own,Mobile,Returning,1954,0.45324563385609096,Single Family,Frame,310758.9358449263,2174.1677785540214,link click,55.02744158740833,153.81746810044962,384.3345975257507,2,2,Yes,No
Own,Mobile,New,2013,0.6593534060281712,Townhome,Brick,317624.77171255497,2426.627971039494,link click,75.05723152781663,247.62272971393105,152.6247736917161,2,4,Yes,Yes
Rent,Desktop,Returning,1979,0.44629020432214694,Apartment,Frame,225454.30443536458,1853.5462471109329,link click,195.33512504075955,75.10766929774705,167.9518524531134,1,4,No,No
Rent,Mobile,New,1968,0.25973098979858683,Condo,Frame,429067.5644088695,2929.5453788809705,link click,40.88250181036939,714.3271981966667,149.11643955235914,2,3,Yes,No
Own,Mobile,New,2009,0.1236412648728365,Single Family,Brick,325965.08951057453,2323.5548702271917,link click,178.94122861357005,165.69829039032243,330.1428991714987,0,2,No,No
Own,Mobile,Returning,1969,0.3601389533514404,Apartment,Brick,382810.2757705984,2915.0973162048754,link click,258.5225547000042,274.17350453153733,914.7843211346652,0,2,Yes,Yes
Rent,Mobile,New,2022,0.5262372199576518,Single Family,Frame,303831.3854450854,2240.3597667092613,link click,194.17215258587152,93.1005826185682,138.89518634467066,0,3,No,No
Own,Desktop,Returning,2017,0.6768369448328333,Apartment,Mixed,321036.4140357111,2422.886988719113,link click,197.3041718387333,167.53360488941019,152.37132109885042,4,6,Yes,Yes
Rent,Desktop,Returning,2000,0.5019415935477791,Townhome,Brick,322275.1150568671,1871.7855907742617,link click,46.78153004126153,95.20384165752687,258.5093892477175,0,0,No,No
Rent,Desktop,Returning,1995,0.4402428793072883,Apartment,Brick,189970.62257900165,1059.469473614265,link click,12.838617231436475,109.98496512664434,125.89392587694766,2,3,No,No
Own,Mobile,Returning,2014,0.6530874646935023,Single Family,Mixed,383990.3917956841,2692.0840236928093,link click,122.79358480028495,168.72996662587929,299.03425848792386,1,5,Yes,Yes
Own,Mobile,New,1988,0.58306819469983,Single Family,Frame,483156.3440664357,3338.7950308996205,link click,316.96056556364005,487.1467665208452,187.653704371468,3,3,No,Yes
Rent,Desktop,Returning,1999,0.6054831023341782,Apartment,Masonry,228973.65573841287,1901.5397899974948,link click,26.4071933848384,257.64836417133233,62.33387809322075,1,2,Yes,No
Rent,Mobile,New,1997,0.01607962743301017,Single Family,Frame,208606.90007771063,1908.7866777899185,link click,159.3703540655239,23.40542665854029,76.08658458809583,0,2,No,Yes
Own,Mobile,Returning,1977,0.31410235728833247,Single Family,Mixed,282752.4073573113,1450.0836477611347,link click,24.45701175869616,41.87474043912752,376.2634938202502,1,3,No,No
Own,Desktop,Returning,1956,0.6937791813692966,Single Family,Frame,464978.2210297229,2974.1990637901904,link click,105.45940242968669,187.56797944088314,769.7638406712026,2,6,Yes,Yes
Other,Mobile,Returning,1990,0.32113349165456306,Condo,Mixed,253082.42424808833,1743.2543184464953,link click,147.64331580629428,121.29094671323811,105.43809577161554,1,0,Yes,No
Own,Desktop,New,1981,0.3933675451006692,Townhome,Frame,451665.476986239,3153.44401859383,link click,86.03228607652609,107.82150706180083,45.36724022342651,1,7,Yes,No
Own,Mobile,New,1997,0.6767468735307698,Townhome,Brick,420078.29703460494,2448.618946484864,link click,155.09752433788398,31.078891929439894,440.690305326752,0,2,Yes,Yes
Own,Desktop,Returning,1985,0.6093883604013718,Apartment,Brick,329782.11706116307,2212.5720037920955,link click,92.1361810857231,47.73578938832829,88.21999385930208,1,5,Yes,No
Own,Mobile,Returning,1984,0.4649941789865285,Apartment,Brick,328160.8375345715,1990.440336278994,link click,72.10936439937066,112.48315894013058,266.73224511576785,0,3,Yes,No
Own,Mobile,Returning,1982,0.23550969805900096,Condo,Frame,268050.5376075896,1498.8006398304176,link click,350.305190425836,50.64551787488384,31.21497899671785,0,4,No,No
Own,Mobile,Returning,2007,0.2840029380833303,Single Family,Masonry,217848.27275434363,2038.0825891346476,link click,112.97434997167595,234.8805517484822,74.72701317892854,3,0,No,Yes
Own,Desktop,Returning,1961,0.5026730307871766,Condo,Frame,405679.9208156881,2426.5867081928686,link click,432.7651491160027,91.94285867193618,156.83731078889323,4,1,Yes,Yes
Rent,Mobile,New,2019,0.48383809012207585,Apartment,Mixed,337884.18560495996,2818.1463222340008,link click,217.11478845066,151.67122704538403,48.29401331291819,1,3,No,No
Own,Mobile,New,1945,0.26478667328717786,Townhome,Brick,539358.5306027232,3380.771542490642,link click,262.4534747724447,124.52022316964066,2951.3874780461815,3,4,Yes,Yes
Own,Mobile,Returning,2000,0.6756379656923236,Single Family,Brick,357126.6222776499,2419.861917725703,link click,2669.712087366043,496.10627001208934,763.6554457899355,5,7,Yes,Yes
Rent,Desktop,Returning,1968,0.7213172421771303,Apartment,Brick,377894.72038211545,2063.3311670823505,link click,63.42618663008694,223.56817205793084,95.9760828843866,1,2,Yes,Yes
Rent,Mobile,New,1988,0.7093027773213099,Single Family,Frame,346605.79343189806,2414.6513772595595,link click,109.46935919385854,114.53305133704484,517.8654337934738,2,1,Yes,Yes
Own,Mobile,Returning,1978,0.6090691342525179,Single Family,Brick,327946.51770311024,2278.8561225498224,link click,212.98618491725907,155.00601128102858,566.4624570051744,4,5,Yes,Yes
Own,Desktop,Returning,1996,0.38907128076402425,Condo,Frame,193189.1810429509,1227.0563487251015,link click,44.19001080273518,215.1038189379565,160.14962391466494,0,2,Yes,No
Own,Desktop,Returning,2020,0.24997891818395357,Apartment,Frame,446577.3689412785,2741.4259906525267,link click,183.64520115240396,303.38655659747315,368.3948369493546,2,5,Yes,Yes
Own,Desktop,Returning,1992,0.7403374441626857,Single Family,Frame,354541.78929386096,3276.612880104496,link click,452.8727203281067,344.9088839021627,225.0123854997562,0,5,No,Yes
Rent,Desktop,New,1993,0.4036551376809616,Townhome,Frame,343883.1221583929,2044.3667890013242,link click,457.7461981123546,188.94403814337812,360.34714715313055,1,1,No,Yes
Own,Mobile,New,1952,0.42849074360230277,Condo,Mixed,315924.6773499818,2420.095811056975,link click,66.52569373740948,105.6107712477358,190.59648838766904,0,2,Yes,Yes
Own,Mobile,New,2019,0.5531757134705704,Townhome,Mixed,304470.764092846,2481.1024526234096,link click,106.31833583515171,630.337248449112,466.4757124339648,2,3,Yes,Yes
Rent,Mobile,New,1969,0.4699597677559536,Single Family,Frame,391244.15962532343,2866.040977446227,link click,86.17857875797253,274.87050796709076,330.81256942950233,2,1,Yes,No
Rent,Mobile,Returning,1955,0.2645453227585213,Apartment,Frame,289731.7303520738,2286.2765671181965,link click,136.65380163205947,100.23759998582916,60.81195676673106,4,1,Yes,No
Own,Mobile,New,1972,0.553672065537006,Apartment,Brick,254881.06583949478,1829.4894343935644,link click,89.49111779185796,175.61612831328748,42.10967869637598,1,0,No,Yes
Own,Mobile,Returning,1953,0.4007967083821487,Single Family,Mixed,473903.1238600762,3279.856907228029,link click,686.7780285103153,126.43565669532934,184.18901448802902,3,4,Yes,Yes
Rent,Desktop,New,1972,0.49956401665583006,Single Family,Brick,285280.403159262,2261.284849854817,link click,107.43783032421833,119.23572286063408,254.20397382892494,0,0,No,Yes
Rent,Mobile,New,1979,0.45705263488961134,Single Family,Frame,188955.480807702,1653.8474292731746,link click,501.2736054711838,128.61091870028477,81.3333342218892,1,3,No,No
Rent,Mobile,Returning,2006,0.832859574121025,Single Family,Brick,378037.06162288174,2285.383102753863,link click,47.41703827501474,57.37049806414427,669.3686122209346,2,2,Yes,No
Other,Desktop,Returning,1953,0.5955437632248078,Single Family,Frame,257183.27027795787,1388.7964176264031,link click,46.465759750715165,56.29615422988594,358.43662681861446,1,0,No,No
Own,Desktop,Returning,1975,0.5337772664540156,Single Family,Masonry,195651.85956444888,1293.4091307192416,link click,163.14666734343507,296.76988886669744,375.0553551232168,2,3,No,No
Own,Desktop,Returning,1953,0.5371991297370594,Single Family,Frame,416964.82201428124,2564.9167317058736,link click,434.15039683411857,29.534087927386842,98.22904489978059,0,3,Yes,No
Other,Mobile,Returning,1981,0.3779132142211677,Condo,Frame,381178.82479472033,2088.9007840563822,link click,44.90550159472867,121.34589779900988,617.2516283257831,3,1,No,No
Other,Desktop,Returning,1995,0.34673690537409785,Condo,Mixed,306029.8978436047,1952.7807576105579,link click,171.09563029507706,59.89643273944623,42.15806828939138,0,2,No,Yes
Own,Mobile,New,1953,0.6040376524087623,Apartment,Masonry,288382.553252173,2067.321387297143,link click,144.85526918209484,619.3723619226314,324.48451128969805,2,2,Yes,No
Own,Mobile,New,1953,0.38577081770023536,Apartment,Frame,290301.493651968,1814.931161823507,link click,28.81642001429949,391.2466213376505,283.94649620258406,0,2,Yes,No
Own,Mobile,New,1985,0.8627921230023914,Single Family,Mixed,184970.60822699423,1511.4717147082697,link click,70.1005117022756,49.565204966742286,325.5090381487391,1,3,Yes,No
Own,Desktop,New,1966,0.5231283623543469,Single Family,Frame,197374.7447200457,1697.5099410246564,link click,79.2733617001234,114.32979213018587,220.4381846645994,0,1,Yes,No
Own,Mobile,Returning,1953,0.1759740458217402,Townhome,Mixed,430628.5988806706,2336.294685920054,link click,646.647217115158,947.71814598082,1366.1726968188946,1,7,Yes,No
Own,Mobile,Returning,1997,0.6708946672413127,Single Family,Frame,199141.88641320495,1189.127624818359,link click,127.0682212487199,16.043302342914256,50.157730563946146,0,2,No,No
Rent,Desktop,New,1955,0.8254552538675753,Condo,Masonry,329377.54412434826,3038.1542422347457,link click,32.97764263323957,41.480454366566896,393.305129795849,0,3,No,No
Rent,Desktop,New,1950,0.5075009132878097,Single Family,Frame,258474.4667599259,1583.7881337911576,link click,56.670674258882634,144.96169997445983,337.1155781353835,1,1,No,Yes
Rent,Mobile,New,1999,0.3878455117437926,Condo,Frame,293570.9547758246,2673.3892216314835,link click,81.60230343144752,88.23187502872511,656.7704275317931,0,2,No,Yes
Rent,Mobile,New,1995,0.6299740924505282,Single Family,Mixed,319137.8418563121,2161.0506432946963,link click,341.2998341342317,82.51915688867534,420.3086022321248,0,5,Yes,Yes
Own,Mobile,Returning,1955,0.254803730253312,Condo,Brick,306440.43032883597,2751.2607962573147,link click,588.4781051764506,363.4009508404507,597.595012390714,0,5,Yes,Yes
Own,Desktop,New,1961,0.20174369032654454,Apartment,Frame,374832.7465965753,2505.59337262438,link click,52.613547287988304,68.81292945209962,81.94093772056023,1,3,Yes,Yes
Own,Desktop,New,1966,0.20242889679824294,Apartment,Frame,317384.0781647037,2114.026425842511,link click,91.84894021957506,180.12259893114256,159.61679463717707,0,3,Yes,No
Own,Desktop,Returning,1974,0.33839249351493234,Apartment,Brick,316370.99554221245,1898.9665690043857,link click,140.2125627421193,256.35740035095324,205.8119593804522,2,4,Yes,Yes
Own,Mobile,Returning,1970,0.42430007671870923,Single Family,Brick,268250.4051229818,1816.9897395507296,link click,56.8933052823056,123.55591521581823,99.50990213517113,1,1,No,No
Own,Desktop,Returning,1952,0.21672774567509584,Townhome,Frame,411219.06018719956,2592.165156734825,link click,267.0942395003118,342.98877799835253,157.40043247698375,2,7,Yes,Yes
Rent,Desktop,New,1992,0.4290490271178396,Single Family,Brick,381490.37504139246,2488.5079938099307,link click,202.45683595757552,135.64500606145685,60.85526302635298,4,2,Yes,Yes
Rent,Mobile,New,2007,0.3235109412074807,Single Family,Frame,392655.69430615316,2859.966301245309,link click,273.41429547866653,144.29088554091663,282.02987756612356,0,5,Yes,Yes
Rent,Mobile,Returning,2015,0.4894310674112677,Condo,Brick,375758.8870539666,3052.3009400758615,link click,150.6940839771709,195.06774011703416,269.2068841893075,3,2,Yes,No
Rent,Desktop,Returning,1994,0.2892046685878056,Single Family,Brick,341988.3920377474,2625.613114028198,link click,120.8165248378719,88.78895520869614,236.10762036899231,4,3,No,No
Own,Desktop,Returning,1951,0.957445942897487,Condo,Frame,269390.7897719813,2061.54554185635,link click,255.8789317540981,86.27525724562797,157.28306965517885,1,1,Yes,Yes
Own,Desktop,Returning,1965,0.4181803628030259,Townhome,Brick,354237.6229529141,2368.7204605402853,link click,587.2493291503461,556.823096796196,606.4165520800307,1,4,Yes,Yes
Own,Mobile,Returning,1974,0.7012579921708788,Single Family,Frame,336356.7695910777,2144.8524918334074,link click,117.07907203283175,42.432413230954786,93.14716319972035,0,2,Yes,Yes
Own,Mobile,Returning,2007,0.6819536026940809,Condo,Frame,217996.81171614098,1672.8887711184766,link click,68.37108144894783,31.713931719919714,130.4898965818727,0,1,Yes,No
Own,Desktop,New,1947,0.4147686468249014,Single Family,Frame,507557.82379230583,3799.1978925838716,link click,523.5161183183116,1040.8820577123615,736.5550101025616,3,4,Yes,Yes
Own,Mobile,Returning,1946,0.2346271194071604,Single Family,Brick,442326.8338628972,2771.631908882566,link click,98.05686916378761,65.83860735831645,317.1710442253396,3,8,Yes,Yes
Own,Mobile,New,1990,0.7514642085186894,Single Family,Frame,238155.63954167496,1362.2936727436522,link click,66.15550072790893,39.94907922663502,397.6623911689997,3,1,No,No
Own,Mobile,New,1956,0.49169005995434734,Single Family,Masonry,344851.2137570245,2895.8993399264637,link click,88.19300653400782,357.9680607899672,829.5710000256621,4,2,Yes,Yes
Rent,Mobile,Returning,1981,0.1910329154760187,Apartment,Frame,179152.13504214503,793.134388960171,link click,90.58385192263539,89.27855125912778,163.2947975696831,1,0,Yes,No
Own,Mobile,New,1946,0.397918840994974,Single Family,Brick,449217.9079221493,2865.0440541665457,link click,153.58603991204524,78.59075582174212,100.79778333363996,2,4,Yes,Yes
Own,Mobile,Returning,1961,0.4038941757575557,Townhome,Mixed,352276.78050539264,2381.1748941765113,link click,46.88304307802343,189.67925153364476,348.9792199799962,1,1,Yes,No
Own,Mobile,New,1966,0.7313371989598125,Apartment,Frame,420970.57661973085,2142.221523705547,link click,436.4896845452407,62.204651070425825,59.045938752220756,0,2,No,Yes
Other,Desktop,Returning,2006,0.565371454580544,Single Family,Frame,260496.90821867227,1933.2820254114995,link click,197.40051728655519,287.94637597149045,710.0384758456042,2,2,Yes,Yes
Own,Desktop,Returning,2013,0.9740522671660344,Single Family,Frame,458193.6883690784,2986.8408514601197,link click,553.1443426667131,171.91047862473096,237.93552135913563,3,4,Yes,Yes
Own,Desktop,Returning,2000,0.5349697268148358,Apartment,Frame,400341.2625760976,2828.0226039290005,link click,637.1423706149336,230.25296856053782,1001.1760361244746,3,6,Yes,Yes
Own,Desktop,New,1997,0.6091115046530052,Townhome,Brick,263040.75197137514,1996.5505683456051,link click,29.841443793568278,206.2497275383229,433.7075229329707,1,3,No,Yes
Own,Mobile,Returning,1996,0.6581900072403559,Apartment,Mixed,242681.7479670093,1696.4719973407762,link click,71.77133872792956,153.97660468056065,428.1890704682373,2,1,Yes,No
Rent,Mobile,New,1977,0.7587938315232072,Condo,Masonry,257635.35620532144,1748.4619859680663,link click,38.750248449011266,30.189851858409245,151.322404528609,0,3,No,No
Own,Mobile,New,2006,0.6133285021774375,Townhome,Frame,334465.64659476955,1936.4240117546715,link click,101.70509450502159,108.61424048585636,42.795564335247825,0,2,Yes,Yes
Own,Mobile,Returning,1958,0.5136324130622811,Condo,Frame,419417.7881113662,2835.9323908659403,link click,1235.6627509725884,312.1035296390644,408.0124744177762,3,6,No,Yes
Rent,Mobile,Returning,1954,0.4558540876505204,Townhome,Frame,386255.13044230285,2452.2876334095276,link click,260.3221832569961,76.48376967268918,166.01034965945863,1,6,Yes,Yes
Own,Mobile,Returning,2003,0.267695907621311,Single Family,Frame,436322.51950606715,3058.2747451238756,link click,346.0435587737384,155.5791235757037,245.38967913467474,2,1,Yes,Yes
Own,Mobile,Returning,2017,0.7629209716798554,Condo,Frame,295450.35312475066,2167.583742110742,link click,51.64383625687436,227.65486695510188,191.36272038130693,0,4,Yes,No
Own,Mobile,Returning,1961,0.5398036352826346,Single Family,Masonry,274537.0427558087,1974.5006871721941,link click,64.8645090998304,167.24276122757547,69.82156710599676,3,4,Yes,No
Own,Mobile,Returning,1958,0.6995216361060002,Townhome,Mixed,161775.52599795815,1485.4755189804114,link click,14.06897944970303,24.034133595643528,226.27567081838836,1,4,Yes,No
Own,Mobile,New,2013,0.3702562596030683,Single Family,Frame,237168.92589458768,1058.690578018586,link click,111.53337043571109,171.51058762364434,86.53664024607501,0,2,Yes,Yes
Own,Mobile,Returning,2005,0.7086550388869501,Townhome,Frame,366791.64726414334,2113.9718603973465,link click,392.5604928245917,369.56239106587515,1506.7001252753669,4,6,Yes,No
Other,Desktop,New,2006,0.4112475932580621,Single Family,Masonry,278924.3030412739,1848.9938090981047,link click,38.89360729239898,123.42426488345342,177.48070330486144,1,1,No,No
Other,Mobile,Returning,1959,0.6883684700687995,Single Family,Frame,319197.00639039074,2320.475782407903,link click,100.96462461881559,19.779338047618303,38.88476586256942,1,5,Yes,No
Own,Mobile,Returning,1983,0.5831267771668982,Single Family,Frame,366434.5433608291,1918.335450698695,link click,62.47819770825188,81.98329739378293,265.279215668716,0,2,Yes,Yes
Rent,Desktop,New,2008,0.1359299156699869,Townhome,Frame,209940.82504287764,1552.8115663866326,link click,68.19685335433154,102.91755914477237,257.0199779045881,1,0,No,No
Rent,Mobile,New,1981,0.43615903762533775,Townhome,Brick,206944.80633793023,1314.461739735153,link click,111.06089063324558,87.13504936418751,240.52183477465027,1,1,No,No
Own,Mobile,New,1982,0.4455148006835992,Apartment,Frame,339993.1841042043,2440.210679384741,link click,169.65777403125213,74.65960280033592,247.08923883125203,0,2,Yes,No
Own,Mobile,New,1984,0.5833365783680085,Apartment,Masonry,413022.89540311793,2923.4301485425176,link click,1177.9569092927452,175.09045036597507,206.03857592533961,2,3,Yes,Yes
Own,Mobile,New,1948,0.379279659993498,Apartment,Frame,371450.9588994052,2243.1961620354436,link click,35.590582937961294,156.6379800721714,410.1329873713946,3,8,Yes,No
Rent,Mobile,New,1957,0.6322373056547275,Single Family,Brick,220631.18149905375,1623.049654700957,link click,26.64616887196745,53.95084587768109,283.2246794633004,0,1,No,No
Own,Mobile,New,1985,0.38394413145892897,Single Family,Brick,286534.22878233634,2095.6497306296196,link click,47.894956122543306,138.24800687895095,162.1082082274537,2,4,No,Yes
Rent,Mobile,New,1996,0.5921072250673782,Condo,Frame,160867.14600339584,1613.162712978566,link click,28.39404524207398,24.537641059379194,68.86569914525768,0,1,No,No
